Record ID,Email,First name,Last name,Lifecycle stage,Original source,Original source drill-down 1,Create date,Recent deal close date,Recent deal amount,Campaign,Owner,Company name,Country
90,nancy.mutua90@example.com,Nancy,Mutua,Customer,Paid Search,Paid Search,2025-04-16 00:00:00,2025-05-05,962.21,New Store Launch,Client Success Team,UrbanGlow,Kenya
91,esther.otieno91@example.com,Esther,Otieno,Opportunity,Organic Search,,2025-11-06 00:00:00,2025-11-17,1161.22,Referral Boost,Client Success Team,Nairobi Retailers,Kenya
92,michael.okello92@example.com,Michael,Okello,Marketing Qualified Lead,Referral,,2025-06-03 00:00:00,,,Referral Boost,Client Success Team,Coastal Beauty,Kenya
93,esther.okello93@example.com,Esther,Okello,Lead,Direct,,2025-02-07 00:00:00,,,Organic Search,Mercy Otieno,UrbanGlow,Kenya
94,fatuma.okello94@example.com,Fatuma,Okello,Lead,Referral,,2025-11-22 00:00:00,,,Chiffon Brand Awareness,John Kamau,Nairobi Retailers,Kenya
95,nancy.kamau95@example.com,Nancy,Kamau,Lead,Email,,2025-07-28 00:00:00,,,Newsletter,Client Success Team,BeautyWorld KE,Kenya
96,joseph.okello96@example.com,Joseph,Okello,Marketing Qualified Lead,Referral,,2025-12-25 00:00:00,,,New Store Launch,Samuel Ndegwa,UrbanGlow,Kenya
97,wanjiru.maina97@example.com,Wanjiru,Maina,Lead,Paid Search,Paid Search,2025-02-10 00:00:00,,,Holiday Promo Q4,Jane Wanjiru,Chiffon Cosmetics,Kenya
98,james.kariuki98@example.com,James,Kariuki,Marketing Qualified Lead,Email,,2025-09-28 00:00:00,,,Chiffon Brand Awareness,Samuel Ndegwa,Coastal Beauty,Kenya
99,david.mutua99@example.com,David,Mutua,Opportunity,Social Media,Social Media,2025-06-05 00:00:00,2025-07-05,1093.25,New Store Launch,Jane Wanjiru,Nairobi Retailers,Kenya
100,james.wanyoike100@example.com,James,Wanyoike,Customer,Email,,2025-10-25 00:00:00,2025-11-02,1781.7,Valentine Push,Jane Wanjiru,BeautyWorld KE,Kenya
101,mary.maina101@example.com,Mary,Maina,Marketing Qualified Lead,Email,,2025-06-26 00:00:00,,,Chiffon Brand Awareness,Client Success Team,UrbanGlow,Kenya
102,michael.njoroge102@example.com,Michael,Njoroge,Marketing Qualified Lead,Organic Search,,2025-08-19 00:00:00,,,Organic Search,Client Success Team,BeautyWorld KE,Kenya
103,brian.kariuki103@example.com,Brian,Kariuki,Marketing Qualified Lead,Organic Search,,2025-08-03 00:00:00,,,New Store Launch,Jane Wanjiru,Nairobi Retailers,Kenya
104,nancy.karanja104@example.com,Nancy,Karanja,Lead,Direct,,2025-09-22 00:00:00,,,Organic Search,Mercy Otieno,UrbanGlow,Kenya
105,david.kamau105@example.com,David,Kamau,Opportunity,Referral,,2025-09-16 00:00:00,2025-10-27,1049.65,Valentine Push,Samuel Ndegwa,Nairobi Retailers,Kenya
106,james.otieno106@example.com,James,Otieno,Customer,Paid Search,Paid Search,2025-03-04 00:00:00,2025-04-05,1112.2,Valentine Push,Jane Wanjiru,Nairobi Retailers,Kenya
107,paul.maina107@example.com,Paul,Maina,Customer,Paid Search,Paid Search,2025-05-01 00:00:00,2025-06-02,1341.2,Referral Program,Client Success Team,Coastal Beauty,Kenya
108,david.ouma108@example.com,David,Ouma,Opportunity,Organic Search,,2025-02-20 00:00:00,2025-04-07,1223.65,Valentine Push,Jane Wanjiru,BeautyWorld KE,Kenya
109,esther.otieno109@example.com,Esther,Otieno,Customer,Email,,2025-03-21 00:00:00,2025-05-08,1850.47,Chiffon Brand Awareness,John Kamau,Coastal Beauty,Kenya
110,nancy.okello110@example.com,Nancy,Okello,Sales Qualified Lead,Referral,,2025-08-09 00:00:00,,,New Store Launch,Samuel Ndegwa,Coastal Beauty,Kenya
111,esther.karanja111@example.com,Esther,Karanja,Marketing Qualified Lead,Paid Search,Paid Search,2025-01-04 00:00:00,,,Chiffon Brand Awareness,Jane Wanjiru,UrbanGlow,Kenya
112,james.kiptoo112@example.com,James,Kiptoo,Marketing Qualified Lead,Social Media,Social Media,2025-06-25 00:00:00,,,Chiffon Brand Awareness,Jane Wanjiru,BeautyWorld KE,Kenya
113,lilian.kiptoo113@example.com,Lilian,Kiptoo,Customer,Organic Search,,2025-10-25 00:00:00,2025-12-05,2194.1,Chiffon Brand Awareness,Mercy Otieno,Chiffon Cosmetics,Kenya
114,david.okello114@example.com,David,Okello,Marketing Qualified Lead,Email,,2025-05-27 00:00:00,,,Valentine Push,John Kamau,BeautyWorld KE,Kenya
115,esther.maina115@example.com,Esther,Maina,Opportunity,Social Media,Social Media,2025-12-15 00:00:00,2025-12-22,2073.77,New Store Launch,John Kamau,BeautyWorld KE,Kenya
116,fatuma.otieno116@example.com,Fatuma,Otieno,Customer,Social Media,Social Media,2025-09-26 00:00:00,2025-10-21,835.08,Holiday Promo Q4,Jane Wanjiru,Chiffon Cosmetics,Kenya
117,esther.kariuki117@example.com,Esther,Kariuki,Customer,Email,,2025-06-08 00:00:00,2025-06-29,749.35,Referral Boost,Jane Wanjiru,UrbanGlow,Kenya
118,james.kariuki118@example.com,James,Kariuki,Marketing Qualified Lead,Organic Search,,2025-11-02 00:00:00,,,Valentine Push,Samuel Ndegwa,Nairobi Retailers,Kenya
119,esther.otieno119@example.com,Esther,Otieno,Lead,Social Media,Social Media,2025-06-25 00:00:00,,,Referral Boost,Client Success Team,Chiffon Cosmetics,Kenya
120,joseph.kamau120@example.com,Joseph,Kamau,Lead,Email,,2025-09-21 00:00:00,,,Valentine Push,John Kamau,BeautyWorld KE,Kenya
121,wanjiru.kamau121@example.com,Wanjiru,Kamau,Opportunity,Direct,,2025-11-01 00:00:00,2025-12-11,1010.17,Valentine Push,Mercy Otieno,Nairobi Retailers,Kenya
122,mary.kariuki122@example.com,Mary,Kariuki,Customer,Social Media,Social Media,2025-11-16 00:00:00,2025-12-30,899.08,Seasonal Email,John Kamau,Nairobi Retailers,Kenya
123,esther.karanja123@example.com,Esther,Karanja,Lead,Referral,,2025-02-19 00:00:00,,,Newsletter,John Kamau,Chiffon Cosmetics,Kenya
124,paul.karanja124@example.com,Paul,Karanja,Marketing Qualified Lead,Referral,,2025-09-07 00:00:00,,,Holiday Promo Q4,John Kamau,Chiffon Cosmetics,Kenya
125,nancy.njoroge125@example.com,Nancy,Njoroge,Customer,Paid Search,Paid Search,2025-04-07 00:00:00,2025-05-04,841.7,Referral Boost,John Kamau,BeautyWorld KE,Kenya
126,aisha.okello126@example.com,Aisha,Okello,Lead,Email,,2025-09-08 00:00:00,,,New Store Launch,Client Success Team,Chiffon Cosmetics,Kenya
127,fatuma.ouma127@example.com,Fatuma,Ouma,Marketing Qualified Lead,Organic Search,,2025-11-21 00:00:00,,,Valentine Push,Mercy Otieno,Nairobi Retailers,Kenya
128,lilian.kariuki128@example.com,Lilian,Kariuki,Marketing Qualified Lead,Social Media,Social Media,2025-08-24 00:00:00,,,Valentine Push,Jane Wanjiru,BeautyWorld KE,Kenya
129,peter.okello129@example.com,Peter,Okello,Lead,Direct,,2025-05-16 00:00:00,,,Referral Boost,Client Success Team,BeautyWorld KE,Kenya
130,esther.kariuki130@example.com,Esther,Kariuki,Marketing Qualified Lead,Organic Search,,2025-07-09 00:00:00,,,Chiffon Brand Awareness,Client Success Team,UrbanGlow,Kenya
131,james.mutua131@example.com,James,Mutua,Lead,Organic Search,,2025-02-01 00:00:00,,,Newsletter,Client Success Team,Chiffon Cosmetics,Kenya
132,michael.mutua132@example.com,Michael,Mutua,Opportunity,Email,,2025-08-19 00:00:00,2025-09-22,1736.0,Referral Boost,Jane Wanjiru,UrbanGlow,Kenya
133,david.atieno133@example.com,David,Atieno,Lead,Referral,,2025-02-04 00:00:00,,,Referral Boost,Mercy Otieno,Coastal Beauty,Kenya
134,nancy.otieno134@example.com,Nancy,Otieno,Sales Qualified Lead,Referral,,2025-05-24 00:00:00,,,Holiday Promo Q4,John Kamau,Chiffon Cosmetics,Kenya
135,paul.kariuki135@example.com,Paul,Kariuki,Sales Qualified Lead,Organic Search,,2025-04-13 00:00:00,,,Valentine Push,John Kamau,Coastal Beauty,Kenya
136,aisha.kiptoo136@example.com,Aisha,Kiptoo,Customer,Referral,,2025-11-18 00:00:00,2025-11-27,2371.31,New Store Launch,Jane Wanjiru,UrbanGlow,Kenya
137,mary.karanja137@example.com,Mary,Karanja,Lead,Organic Search,,2025-09-03 00:00:00,,,New Store Launch,John Kamau,Coastal Beauty,Kenya
138,james.kiptoo138@example.com,James,Kiptoo,Marketing Qualified Lead,Email,,2025-03-30 00:00:00,,,Chiffon Brand Awareness,Samuel Ndegwa,Chiffon Cosmetics,Kenya
139,david.mwangi139@example.com,David,Mwangi,Customer,Email,,2025-07-03 00:00:00,2025-08-19,986.87,Valentine Push,Client Success Team,Chiffon Cosmetics,Kenya
140,james.kariuki140@example.com,James,Kariuki,Sales Qualified Lead,Organic Search,,2025-07-29 00:00:00,,,Holiday Promo Q4,Mercy Otieno,UrbanGlow,Kenya
141,esther.atieno141@example.com,Esther,Atieno,Opportunity,Paid Search,Paid Search,2025-08-11 00:00:00,2025-09-13,1116.48,Chiffon Brand Awareness,Jane Wanjiru,Nairobi Retailers,Kenya
142,joseph.ouma142@example.com,Joseph,Ouma,Customer,Direct,,2025-08-25 00:00:00,2025-09-09,1273.35,Holiday Promo Q4,Mercy Otieno,Nairobi Retailers,Kenya
143,grace.karanja143@example.com,Grace,Karanja,Customer,Organic Search,,2025-03-30 00:00:00,2025-05-03,1133.97,Referral Program,Client Success Team,BeautyWorld KE,Kenya
144,james.kariuki144@example.com,James,Kariuki,Opportunity,Social Media,Social Media,2025-11-02 00:00:00,2025-11-14,780.44,New Store Launch,John Kamau,BeautyWorld KE,Kenya
145,michael.mutua145@example.com,Michael,Mutua,Sales Qualified Lead,Referral,,2025-03-28 00:00:00,,,Chiffon Brand Awareness,Mercy Otieno,UrbanGlow,Kenya
146,james.otieno146@example.com,James,Otieno,Lead,Email,,2025-08-13 00:00:00,,,Newsletter,John Kamau,UrbanGlow,Kenya
147,wanjiru.mwangi147@example.com,Wanjiru,Mwangi,Lead,Social Media,Social Media,2025-06-05 00:00:00,,,Holiday Promo Q4,Jane Wanjiru,Nairobi Retailers,Kenya
148,fatuma.mwangi148@example.com,Fatuma,Mwangi,Opportunity,Organic Search,,2025-12-30 00:00:00,2025-12-09,623.5,Holiday Promo Q4,Mercy Otieno,Nairobi Retailers,Kenya
149,peter.ouma149@example.com,Peter,Ouma,Sales Qualified Lead,Organic Search,,2025-05-24 00:00:00,,,Newsletter,Samuel Ndegwa,UrbanGlow,Kenya
150,paul.kariuki150@example.com,Paul,Kariuki,Lead,Direct,,2025-12-24 00:00:00,,,Holiday Promo Q4,Client Success Team,Chiffon Cosmetics,Kenya
151,joseph.kamau151@example.com,Joseph,Kamau,Customer,Organic Search,,2025-10-03 00:00:00,2025-11-12,607.52,New Store Launch,Mercy Otieno,Nairobi Retailers,Kenya
152,grace.karanja152@example.com,Grace,Karanja,Customer,Social Media,Social Media,2025-06-18 00:00:00,2025-07-14,2361.41,New Store Launch,Samuel Ndegwa,Coastal Beauty,Kenya
153,lilian.mutua153@example.com,Lilian,Mutua,Customer,Paid Search,Paid Search,2025-09-06 00:00:00,2025-10-20,615.71,Chiffon Brand Awareness,Client Success Team,Coastal Beauty,Kenya
154,grace.kamau154@example.com,Grace,Kamau,Marketing Qualified Lead,Social Media,Social Media,2025-07-03 00:00:00,,,Referral Boost,Mercy Otieno,UrbanGlow,Kenya
155,james.mwangi155@example.com,James,Mwangi,Customer,Referral,,2025-10-16 00:00:00,2025-11-11,664.91,Holiday Promo Q4,John Kamau,BeautyWorld KE,Kenya
